Input,Expected,Outcome
What are the valid values for Sweater/Pullover Type?,"Valid values for Sweater/Pullover Type (per the GS1 extended attribute master code list) are: Babydoll, Hoodie, Blouse, Peasant, Box Top, Peplum, Bustier/Bra Top, Pullover, Button Front, Racerback, Cami, Sweater, Camisole, Sweatshirt, Cardigan, Tank, Cocoon, T-Shirt, Dress Shirt, Tunic, Drop Waist, Vest, Faux Wrap, Wrap, Flyaway/Apron, Other.",generated: gs1-code-list-values
What are the valid values for Leg Type?,"Valid values for Leg Type (per the GS1 extended attribute master code list) are: Boot Cut, Tapered, Flare Leg, Wide Leg, Skinny Leg, Other, Straight Leg.",generated: gs1-code-list-values
What are the valid values for Pants/Shorts Type?,"Valid values for Pants/Shorts Type (per the GS1 extended attribute master code list) are: 5 Pocket/Jean, Gaucho/Palazzo, Bermuda, Jogger, Boxer, Leggings, Capri, Pleated, Cargo, Skort, Carpenter, Sweatpant, Chino, Tap, Culotte, Track, Cut Off, Trouser, Flat Front, Other.",generated: gs1-code-list-values
What are the valid values for Waist Rise?,"Valid values for Waist Rise (per the GS1 extended attribute master code list) are: Classic, Mid, High, Other, Low.",generated: gs1-code-list-values
What are the valid values for Waistband Type?,"Valid values for Waistband Type (per the GS1 extended attribute master code list) are: Band Roll, Knit, Belt Hook, Maternity, Drawstring, D-ring, Rigid, Expander, Self-Fabric Underwear, Full Elastic, Side Elastic, Half Elastic, Side Tab, Hook and Loop, Stretch Elastic, Ino-Flex, Other, Inside Adjustable.",generated: gs1-code-list-values
What are the valid values for Skirt Type?,"Valid values for Skirt Type (per the GS1 extended attribute master code list) are: A-line, Pencil, Circular, Skort, Faux Wrap, Straight, Flared, Tiered, Full, Wrap, Mermaid/Trumpet, Other.",generated: gs1-code-list-values
What are the valid values for Fabric or Material?,"Valid values for Fabric or Material (per the GS1 extended attribute master code list) are: 14K Gold, Marble/Wood, 18K Gold, Matte Jersey, Agate, Melamine, Aluminum, Mercury Glass, Amethyst, Mesh, Anodized Aluminum, Metal, Beaded, Metal Alloy, Birthstone, Metallic, Bi-stretch, Microfiber, Bone, Microfleece, Boucle, Mikado, Brass, Mixed Materials, Broadcloth, Mogador, Brocade, Moleskin, Bronze, Mother-of-Pearl, Brushed Back Satin, Natural, Brushed Back Terry, Natural Fiber, Burlap, Nonstick, Canvas, Nubuck, Cashmink, Onyx, Cast Aluminum, Opal, Cast Iron, Organza, Ceramic, Ostrich, Challis, Ostrich Embossed, Chambray, Oxford, Charmeuse, Palladium, Chenille, Paper Braid, Chiffon/Sheer, Patent Leather, Coated Canvas, Pearl, Composite, Percale, Confetti, Pinpoint, Copper, Pique, Coral, Plastic, Corduroy, Plastic/Acetate, Corian, Plastic/Metal, Cork, Plush, Crepe, Pointelle, Crinoline, Polycarbonate, Crochet, Ponte, Crochet/Openwork, Poplin, Croco, Porcelain, Croco Embossed, Portuguese Flannel, Crystal, Propionate, Cubic Zirconia, PU, Denim, Quartz, Diamond, Rattan, Dobby, Resin, Double Knit, Rhodium, Down, Ribbon, Down Fill, Rope, Drop Needle, Saffiano, Earthenware, Sateen, Elephant Embossed, Satin, Enamel, Scuba, Enamel/Aluminum, Seagrass, Enamel/Epoxy, Seersucker, Enamel/Iron, Sequin, Enamel/Steel, Shantung, End-on-End, Shearling, Epoxy, Sheeting, Eyelet, Shell, Fabric, Silicone, Faux Fur, Sinamay, Faux Leather, Slate, Faux Pearl, Slub, Faux Shearling, Snake Embossed, Faux Suede, Snit, Felt, Stainless Steel, Flannel, Steel, Flat Knit, Sterling Silver, Fleece, Stone, Foam, Stoneware, French Terry, Straw, Fresh Water Pearl, Styrofoam, Fur, Suede, Gabardine, Sweater Yarn, Galvanized, Swiss Dot, Gauze, Synthetic, Genuine Stone, Taffeta, Georgette, Terra Cotta, Glass, Terry Cloth, Glitter, Thermal, Grenadine, Titanium, Grosgrain, Topaz, Hard Anodized, Tricot, Hatchi, Tri-Ply Stainless Steel, Heavy Gauge Steel, Tritan, High-Carbon Steel, Tulle, Hopsack, Turquoise, Howlite, Tweed, Ironstone, Tweed/Boucle, Jacquard, Twill, Jade, Velour, Jasper, Velvet, Knit (Generic), Velveteen, Knit Cable, Voile, Knit Fine Gauge, Waffle, Knit Intarsia, Wax, Knit Interlock, Wicker, Knit Jersey, Wire, Knit Ribbed, Wood, Knit/Woven, Wood Alternative, Knitted, Wool, Lace, Woven (generic), Leather, Other, Lizard Embossed, Magnesite, Magnet, Marble.",generated: gs1-code-list-values
What are the valid values for Glove Type?,"Valid values for Glove Type (per the GS1 extended attribute master code list) are: Mitten, Flip Top, Fingerless, Lobster Gel, Tech, Other, Traditional.",generated: gs1-code-list-values
What are the valid values for Neckwear Type?,"Valid values for Neckwear Type (per the GS1 extended attribute master code list) are: Bandana, Neck Tie, Boa, Oblong Scarf, Bolo, Sarong/Pareo, Bow Tie, Square Scarf, Clip-On Tie, Stole, Cravat, Wrap/Shawl, Infinity Scarf, Other, Muffler.",generated: gs1-code-list-values
What are the valid values for Scarf Type?,"Valid values for Scarf Type (per the GS1 extended attribute master code list) are: Blanket, Oblong, Bandana/Neckerchief, Poncho, Boa, Pull-through, Buff, Shawl, Cowl, Snood, Evening, Square, Gaiter, Stole, Head Scarf, Triangle, Infinity, Turban, Muffler, Wrap, Necklace, Other.",generated: gs1-code-list-values
What are the valid values for Belt Type?,"Valid values for Belt Type (per the GS1 extended attribute master code list) are: Braided, Ratchet, Chain, Sash, Cinch, Strap, Cummerbund, Stretch, Hip, Suspenders, Lace-up, Yoke, Military, Other, Obi.",generated: gs1-code-list-values
Which GS1 categories require Advertised Origin?,"Advertised Origin is a required extended attribute for: Shoes - General Purpose (10001077), Athletic Footwear - General Purpose (10001070), Dresses (10001333), Jackets/Blazers/Cardigans/Waistcoats (10001350), Shirts/Blouses/Polo Shirts/T-Shirts (10001352), Sweaters/Pullovers (10001351), Upper Body Wear/Tops Variety Packs (10001361), Overalls/Bodysuits (10001332), Lower Body Wear/Bottoms Variety Packs (10001356), Skirts (10001334), Trousers/Shorts (10001335), Handbags/Purses (10006030), Handwear/Gloves (10001328), Headwear (10001329), Pocket Squares/Handkerchiefs (10001327), Scarves/Ties/Neckwear (10001330), Belts/Braces/Cummerbunds (10001326), Scarves/Wraps/Shawls (10006032), Sports/Performance Tops (10001400), Sports/Performance Bottoms (10001401), Nightwear/Pyjamas (10002100), Robes/Dressing Gowns (10002101) — 22 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Brand Name?,"Brand Name is a required extended attribute for: Shoes - General Purpose (10001077), Athletic Footwear - General Purpose (10001070), Dresses (10001333), Jackets/Blazers/Cardigans/Waistcoats (10001350), Shirts/Blouses/Polo Shirts/T-Shirts (10001352), Sweaters/Pullovers (10001351), Upper Body Wear/Tops Variety Packs (10001361), Overalls/Bodysuits (10001332), Lower Body Wear/Bottoms Variety Packs (10001356), Skirts (10001334), Trousers/Shorts (10001335), Handbags/Purses (10006030), Handwear/Gloves (10001328), Headwear (10001329), Pocket Squares/Handkerchiefs (10001327), Scarves/Ties/Neckwear (10001330), Belts/Braces/Cummerbunds (10001326), Scarves/Wraps/Shawls (10006032), Sports/Performance Tops (10001400), Sports/Performance Bottoms (10001401), Nightwear/Pyjamas (10002100), Robes/Dressing Gowns (10002101) — 22 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Care Instructions Code?,"Care Instructions Code is a required extended attribute for: Shoes - General Purpose (10001077), Athletic Footwear - General Purpose (10001070), Dresses (10001333), Jackets/Blazers/Cardigans/Waistcoats (10001350), Shirts/Blouses/Polo Shirts/T-Shirts (10001352), Sweaters/Pullovers (10001351), Upper Body Wear/Tops Variety Packs (10001361), Overalls/Bodysuits (10001332), Lower Body Wear/Bottoms Variety Packs (10001356), Skirts (10001334), Trousers/Shorts (10001335), Handbags/Purses (10006030), Handwear/Gloves (10001328), Headwear (10001329), Pocket Squares/Handkerchiefs (10001327), Scarves/Ties/Neckwear (10001330), Belts/Braces/Cummerbunds (10001326), Scarves/Wraps/Shawls (10006032), Sports/Performance Tops (10001400), Sports/Performance Bottoms (10001401), Nightwear/Pyjamas (10002100), Robes/Dressing Gowns (10002101) — 22 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Closure?,"Closure is a required extended attribute for: Shoes - General Purpose (10001077), Athletic Footwear - General Purpose (10001070), Dresses (10001333), Jackets/Blazers/Cardigans/Waistcoats (10001350), Shirts/Blouses/Polo Shirts/T-Shirts (10001352), Sweaters/Pullovers (10001351), Upper Body Wear/Tops Variety Packs (10001361), Overalls/Bodysuits (10001332), Skirts (10001334), Trousers/Shorts (10001335), Belts/Braces/Cummerbunds (10001326), Sports/Performance Tops (10001400), Nightwear/Pyjamas (10002100), Robes/Dressing Gowns (10002101) — 14 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Country of Origin?,"Country of Origin is a required extended attribute for: Shoes - General Purpose (10001077), Athletic Footwear - General Purpose (10001070), Dresses (10001333), Jackets/Blazers/Cardigans/Waistcoats (10001350), Shirts/Blouses/Polo Shirts/T-Shirts (10001352), Sweaters/Pullovers (10001351), Upper Body Wear/Tops Variety Packs (10001361), Overalls/Bodysuits (10001332), Lower Body Wear/Bottoms Variety Packs (10001356), Skirts (10001334), Trousers/Shorts (10001335), Handbags/Purses (10006030), Handwear/Gloves (10001328), Headwear (10001329), Pocket Squares/Handkerchiefs (10001327), Scarves/Ties/Neckwear (10001330), Belts/Braces/Cummerbunds (10001326), Scarves/Wraps/Shawls (10006032), Sports/Performance Tops (10001400), Sports/Performance Bottoms (10001401), Nightwear/Pyjamas (10002100), Robes/Dressing Gowns (10002101) — 22 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Fabric or Material Code?,"Fabric or Material Code is a required extended attribute for: Shoes - General Purpose (10001077), Athletic Footwear - General Purpose (10001070), Dresses (10001333), Jackets/Blazers/Cardigans/Waistcoats (10001350), Shirts/Blouses/Polo Shirts/T-Shirts (10001352), Sweaters/Pullovers (10001351), Upper Body Wear/Tops Variety Packs (10001361), Overalls/Bodysuits (10001332), Lower Body Wear/Bottoms Variety Packs (10001356), Skirts (10001334), Trousers/Shorts (10001335), Sports/Performance Tops (10001400), Sports/Performance Bottoms (10001401), Nightwear/Pyjamas (10002100), Robes/Dressing Gowns (10002101) — 15 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Features - Benefits Marketing Message?,"Features - Benefits Marketing Message is a required extended attribute for: Shoes - General Purpose (10001077), Athletic Footwear - General Purpose (10001070), Dresses (10001333), Jackets/Blazers/Cardigans/Waistcoats (10001350), Shirts/Blouses/Polo Shirts/T-Shirts (10001352), Sweaters/Pullovers (10001351), Upper Body Wear/Tops Variety Packs (10001361), Overalls/Bodysuits (10001332), Lower Body Wear/Bottoms Variety Packs (10001356), Skirts (10001334), Trousers/Shorts (10001335), Handbags/Purses (10006030), Handwear/Gloves (10001328), Headwear (10001329), Pocket Squares/Handkerchiefs (10001327), Scarves/Ties/Neckwear (10001330), Belts/Braces/Cummerbunds (10001326), Scarves/Wraps/Shawls (10006032), Sports/Performance Tops (10001400), Sports/Performance Bottoms (10001401), Nightwear/Pyjamas (10002100), Robes/Dressing Gowns (10002101) — 22 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Fur Animal Name?,"Fur Animal Name is a required extended attribute for: Shoes - General Purpose (10001077), Dresses (10001333), Jackets/Blazers/Cardigans/Waistcoats (10001350), Shirts/Blouses/Polo Shirts/T-Shirts (10001352), Sweaters/Pullovers (10001351), Upper Body Wear/Tops Variety Packs (10001361), Overalls/Bodysuits (10001332), Lower Body Wear/Bottoms Variety Packs (10001356), Skirts (10001334), Trousers/Shorts (10001335), Handbags/Purses (10006030), Handwear/Gloves (10001328), Headwear (10001329), Pocket Squares/Handkerchiefs (10001327), Scarves/Ties/Neckwear (10001330), Belts/Braces/Cummerbunds (10001326), Scarves/Wraps/Shawls (10006032) — 17 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Fur Country of Origin?,"Fur Country of Origin is a required extended attribute for: Shoes - General Purpose (10001077), Dresses (10001333), Jackets/Blazers/Cardigans/Waistcoats (10001350), Shirts/Blouses/Polo Shirts/T-Shirts (10001352), Sweaters/Pullovers (10001351), Upper Body Wear/Tops Variety Packs (10001361), Overalls/Bodysuits (10001332), Lower Body Wear/Bottoms Variety Packs (10001356), Skirts (10001334), Trousers/Shorts (10001335), Handbags/Purses (10006030), Handwear/Gloves (10001328), Headwear (10001329), Pocket Squares/Handkerchiefs (10001327), Scarves/Ties/Neckwear (10001330), Belts/Braces/Cummerbunds (10001326), Scarves/Wraps/Shawls (10006032) — 17 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Fur Treatment?,"Fur Treatment is a required extended attribute for: Shoes - General Purpose (10001077), Athletic Footwear - General Purpose (10001070), Dresses (10001333), Jackets/Blazers/Cardigans/Waistcoats (10001350), Shirts/Blouses/Polo Shirts/T-Shirts (10001352), Sweaters/Pullovers (10001351), Upper Body Wear/Tops Variety Packs (10001361), Overalls/Bodysuits (10001332), Lower Body Wear/Bottoms Variety Packs (10001356), Skirts (10001334), Trousers/Shorts (10001335), Handbags/Purses (10006030), Handwear/Gloves (10001328), Headwear (10001329), Pocket Squares/Handkerchiefs (10001327), Scarves/Ties/Neckwear (10001330), Belts/Braces/Cummerbunds (10001326), Scarves/Wraps/Shawls (10006032) — 18 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Gender?,"Gender is a required extended attribute for: Shoes - General Purpose (10001077), Athletic Footwear - General Purpose (10001070), Dresses (10001333), Jackets/Blazers/Cardigans/Waistcoats (10001350), Shirts/Blouses/Polo Shirts/T-Shirts (10001352), Sweaters/Pullovers (10001351), Upper Body Wear/Tops Variety Packs (10001361), Overalls/Bodysuits (10001332), Lower Body Wear/Bottoms Variety Packs (10001356), Skirts (10001334), Trousers/Shorts (10001335), Necklaces/Chains/Pendants (10006017), Rings (10006018), Earrings/Ear Cuffs (10006019), Handbags/Purses (10006030), Handwear/Gloves (10001328), Headwear (10001329), Pocket Squares/Handkerchiefs (10001327), Scarves/Ties/Neckwear (10001330), Belts/Braces/Cummerbunds (10001326), Scarves/Wraps/Shawls (10006032), Sports/Performance Tops (10001400), Sports/Performance Bottoms (10001401), Nightwear/Pyjamas (10002100), Robes/Dressing Gowns (10002101) — 25 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Global Product Classification (GPC)?,"Global Product Classification (GPC) is a required extended attribute for: Shoes - General Purpose (10001077), Athletic Footwear - General Purpose (10001070), Dresses (10001333), Jackets/Blazers/Cardigans/Waistcoats (10001350), Shirts/Blouses/Polo Shirts/T-Shirts (10001352), Sweaters/Pullovers (10001351), Upper Body Wear/Tops Variety Packs (10001361), Overalls/Bodysuits (10001332), Lower Body Wear/Bottoms Variety Packs (10001356), Skirts (10001334), Trousers/Shorts (10001335), Handbags/Purses (10006030), Handwear/Gloves (10001328), Headwear (10001329), Pocket Squares/Handkerchiefs (10001327), Scarves/Ties/Neckwear (10001330), Belts/Braces/Cummerbunds (10001326), Scarves/Wraps/Shawls (10006032), Sports/Performance Tops (10001400), Sports/Performance Bottoms (10001401), Nightwear/Pyjamas (10002100), Robes/Dressing Gowns (10002101) — 22 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Harmonized Tariff Schedule Code?,"Harmonized Tariff Schedule Code is a required extended attribute for: Shoes - General Purpose (10001077), Athletic Footwear - General Purpose (10001070), Dresses (10001333), Jackets/Blazers/Cardigans/Waistcoats (10001350), Shirts/Blouses/Polo Shirts/T-Shirts (10001352), Sweaters/Pullovers (10001351), Upper Body Wear/Tops Variety Packs (10001361), Overalls/Bodysuits (10001332), Lower Body Wear/Bottoms Variety Packs (10001356), Skirts (10001334), Trousers/Shorts (10001335), Handbags/Purses (10006030), Handwear/Gloves (10001328), Headwear (10001329), Pocket Squares/Handkerchiefs (10001327), Scarves/Ties/Neckwear (10001330), Belts/Braces/Cummerbunds (10001326), Scarves/Wraps/Shawls (10006032), Sports/Performance Tops (10001400), Sports/Performance Bottoms (10001401), Nightwear/Pyjamas (10002100), Robes/Dressing Gowns (10002101) — 22 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Heel Height?,"Heel Height is a required extended attribute for: Shoes - General Purpose (10001077), Athletic Footwear - General Purpose (10001070) — 2 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Lining Material?,"Lining Material is a required extended attribute for: Shoes - General Purpose (10001077), Athletic Footwear - General Purpose (10001070), Dresses (10001333), Jackets/Blazers/Cardigans/Waistcoats (10001350), Shirts/Blouses/Polo Shirts/T-Shirts (10001352), Sweaters/Pullovers (10001351), Skirts (10001334), Trousers/Shorts (10001335), Handbags/Purses (10006030), Handwear/Gloves (10001328), Robes/Dressing Gowns (10002101) — 11 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Prop 65?,"Prop 65 is a required extended attribute for: Shoes - General Purpose (10001077), Athletic Footwear - General Purpose (10001070), Dresses (10001333), Jackets/Blazers/Cardigans/Waistcoats (10001350), Shirts/Blouses/Polo Shirts/T-Shirts (10001352), Sweaters/Pullovers (10001351), Upper Body Wear/Tops Variety Packs (10001361), Overalls/Bodysuits (10001332), Lower Body Wear/Bottoms Variety Packs (10001356), Skirts (10001334), Trousers/Shorts (10001335), Handbags/Purses (10006030), Handwear/Gloves (10001328), Headwear (10001329), Pocket Squares/Handkerchiefs (10001327), Scarves/Ties/Neckwear (10001330), Belts/Braces/Cummerbunds (10001326), Scarves/Wraps/Shawls (10006032), Sports/Performance Tops (10001400), Sports/Performance Bottoms (10001401), Nightwear/Pyjamas (10002100), Robes/Dressing Gowns (10002101) — 22 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Shoe Type?,"Shoe Type is a required extended attribute for: Shoes - General Purpose (10001077), Athletic Footwear - General Purpose (10001070) — 2 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Sole Type?,"Sole Type is a required extended attribute for: Shoes - General Purpose (10001077), Athletic Footwear - General Purpose (10001070) — 2 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Collar Type?,"Collar Type is a required extended attribute for: Dresses (10001333), Jackets/Blazers/Cardigans/Waistcoats (10001350), Shirts/Blouses/Polo Shirts/T-Shirts (10001352), Sweaters/Pullovers (10001351), Upper Body Wear/Tops Variety Packs (10001361), Overalls/Bodysuits (10001332) — 6 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Consumer Item Length?,"Consumer Item Length is a required extended attribute for: Dresses (10001333), Jackets/Blazers/Cardigans/Waistcoats (10001350), Shirts/Blouses/Polo Shirts/T-Shirts (10001352), Sweaters/Pullovers (10001351), Upper Body Wear/Tops Variety Packs (10001361), Skirts (10001334), Pocket Squares/Handkerchiefs (10001327), Scarves/Ties/Neckwear (10001330), Belts/Braces/Cummerbunds (10001326), Scarves/Wraps/Shawls (10006032) — 10 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Consumer Life Stage?,"Consumer Life Stage is a required extended attribute for: Dresses (10001333), Jackets/Blazers/Cardigans/Waistcoats (10001350), Shirts/Blouses/Polo Shirts/T-Shirts (10001352), Sweaters/Pullovers (10001351), Upper Body Wear/Tops Variety Packs (10001361), Overalls/Bodysuits (10001332), Lower Body Wear/Bottoms Variety Packs (10001356), Skirts (10001334), Trousers/Shorts (10001335), Sports/Performance Tops (10001400), Sports/Performance Bottoms (10001401), Nightwear/Pyjamas (10002100), Robes/Dressing Gowns (10002101) — 13 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Fiber?,"Fiber is a required extended attribute for: Dresses (10001333), Jackets/Blazers/Cardigans/Waistcoats (10001350), Shirts/Blouses/Polo Shirts/T-Shirts (10001352), Sweaters/Pullovers (10001351), Upper Body Wear/Tops Variety Packs (10001361), Overalls/Bodysuits (10001332), Lower Body Wear/Bottoms Variety Packs (10001356), Skirts (10001334), Trousers/Shorts (10001335), Handbags/Purses (10006030), Handwear/Gloves (10001328), Headwear (10001329), Pocket Squares/Handkerchiefs (10001327), Scarves/Ties/Neckwear (10001330), Belts/Braces/Cummerbunds (10001326), Scarves/Wraps/Shawls (10006032), Sports/Performance Tops (10001400), Sports/Performance Bottoms (10001401), Nightwear/Pyjamas (10002100), Robes/Dressing Gowns (10002101) — 20 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Gauge?,"Gauge is a required extended attribute for: Dresses (10001333), Jackets/Blazers/Cardigans/Waistcoats (10001350), Sweaters/Pullovers (10001351) — 3 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Length Description?,"Length Description is a required extended attribute for: Dresses (10001333), Jackets/Blazers/Cardigans/Waistcoats (10001350), Shirts/Blouses/Polo Shirts/T-Shirts (10001352), Sweaters/Pullovers (10001351), Upper Body Wear/Tops Variety Packs (10001361), Overalls/Bodysuits (10001332), Skirts (10001334), Trousers/Shorts (10001335), Sports/Performance Tops (10001400), Nightwear/Pyjamas (10002100), Robes/Dressing Gowns (10002101) — 11 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Lined?,"Lined is a required extended attribute for: Dresses (10001333), Jackets/Blazers/Cardigans/Waistcoats (10001350), Shirts/Blouses/Polo Shirts/T-Shirts (10001352), Sweaters/Pullovers (10001351), Skirts (10001334), Trousers/Shorts (10001335), Robes/Dressing Gowns (10002101) — 7 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Pocket Details?,"Pocket Details is a required extended attribute for: Dresses (10001333), Jackets/Blazers/Cardigans/Waistcoats (10001350), Shirts/Blouses/Polo Shirts/T-Shirts (10001352), Sweaters/Pullovers (10001351), Upper Body Wear/Tops Variety Packs (10001361), Overalls/Bodysuits (10001332), Lower Body Wear/Bottoms Variety Packs (10001356), Skirts (10001334), Trousers/Shorts (10001335) — 9 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Sleeve Type?,"Sleeve Type is a required extended attribute for: Dresses (10001333), Jackets/Blazers/Cardigans/Waistcoats (10001350), Shirts/Blouses/Polo Shirts/T-Shirts (10001352), Sweaters/Pullovers (10001351), Upper Body Wear/Tops Variety Packs (10001361), Overalls/Bodysuits (10001332), Sports/Performance Tops (10001400), Nightwear/Pyjamas (10002100) — 8 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Wrinkle Resistant?,"Wrinkle Resistant is a required extended attribute for: Dresses (10001333), Jackets/Blazers/Cardigans/Waistcoats (10001350), Shirts/Blouses/Polo Shirts/T-Shirts (10001352), Skirts (10001334), Trousers/Shorts (10001335) — 5 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Hooded?,"Hooded is a required extended attribute for: Jackets/Blazers/Cardigans/Waistcoats (10001350), Shirts/Blouses/Polo Shirts/T-Shirts (10001352), Sweaters/Pullovers (10001351), Sports/Performance Tops (10001400) — 4 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Consumer Quantity of Units in Consumer Package?,"Consumer Quantity of Units in Consumer Package is a required extended attribute for: Upper Body Wear/Tops Variety Packs (10001361), Lower Body Wear/Bottoms Variety Packs (10001356) — 2 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Leg Type?,"Leg Type is a required extended attribute for: Overalls/Bodysuits (10001332), Lower Body Wear/Bottoms Variety Packs (10001356), Trousers/Shorts (10001335) — 3 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Pant Inseam Length?,"Pant Inseam Length is a required extended attribute for: Lower Body Wear/Bottoms Variety Packs (10001356), Trousers/Shorts (10001335), Sports/Performance Bottoms (10001401) — 3 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Pants/Shorts Type?,"Pants/Shorts Type is a required extended attribute for: Lower Body Wear/Bottoms Variety Packs (10001356), Trousers/Shorts (10001335) — 2 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Waist Rise?,"Waist Rise is a required extended attribute for: Lower Body Wear/Bottoms Variety Packs (10001356), Trousers/Shorts (10001335) — 2 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Waistband Type?,"Waistband Type is a required extended attribute for: Lower Body Wear/Bottoms Variety Packs (10001356), Skirts (10001334), Trousers/Shorts (10001335) — 3 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Metal Type?,"Metal Type is a required extended attribute for: Necklaces/Chains/Pendants (10006017), Rings (10006018), Earrings/Ear Cuffs (10006019) — 3 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Metal Purity?,"Metal Purity is a required extended attribute for: Necklaces/Chains/Pendants (10006017), Rings (10006018), Earrings/Ear Cuffs (10006019) — 3 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Stone Type?,"Stone Type is a required extended attribute for: Necklaces/Chains/Pendants (10006017), Rings (10006018), Earrings/Ear Cuffs (10006019) — 3 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Convertible?,"Convertible is a required extended attribute for: Handbags/Purses (10006030), Handwear/Gloves (10001328) — 2 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Fabric or Material?,"Fabric or Material is a required extended attribute for: Handbags/Purses (10006030), Handwear/Gloves (10001328), Headwear (10001329), Pocket Squares/Handkerchiefs (10001327), Scarves/Ties/Neckwear (10001330), Belts/Braces/Cummerbunds (10001326), Scarves/Wraps/Shawls (10006032) — 7 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Adjustable?,"Adjustable is a required extended attribute for: Headwear (10001329), Belts/Braces/Cummerbunds (10001326) — 2 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Consumer Item Width?,"Consumer Item Width is a required extended attribute for: Pocket Squares/Handkerchiefs (10001327), Scarves/Ties/Neckwear (10001330), Belts/Braces/Cummerbunds (10001326), Scarves/Wraps/Shawls (10006032) — 4 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Compression Level?,"Compression Level is a required extended attribute for: Sports/Performance Tops (10001400), Sports/Performance Bottoms (10001401) — 2 categories total.",generated: gs1-cross-brick-attribute
Which GS1 categories require Sport/Activity?,"Sport/Activity is a required extended attribute for: Sports/Performance Tops (10001400), Sports/Performance Bottoms (10001401) — 2 categories total.",generated: gs1-cross-brick-attribute
List all my suppliers.,There are 1055 supplier/category rows across 1009 distinct supplier names trading under this retailer account.,generated: supplier-scale-total
How many suppliers have more than 10 open gaps?,632 supplier/category row(s) have more than 10 open gaps.,generated: supplier-scale-threshold
How many suppliers have more than 20 open gaps?,389 supplier/category row(s) have more than 20 open gaps.,generated: supplier-scale-threshold
How many suppliers have more than 30 open gaps?,276 supplier/category row(s) have more than 30 open gaps.,generated: supplier-scale-threshold
Which suppliers have zero open gaps?,"71 supplier/category row(s) have zero open gaps. A sample: Ainsworth Studio, Ainsworth Trading Co., Ashworth Collective, Ashworth Label, Beaumont Footwear, Bellweather Workshop, Blackwood Footwear, Blackwood Goods, Braithwaite Studio, Dashwood Athletic, Dashwood Trading Co., Dovecote Trading Co., Dunmore Supply Co., Elmswood Athletic, Everhart Apparel, Everhart Atelier, Everly Supply Co., Fairbanks Apparel, Fairbanks Studio, Galloway Brands, and 51 more.",generated: supplier-scale-zero-gaps
"Which supplier has the most open gaps, and how many?",Vandermark Athletic (Shirts/Blouses/Polo Shirts/T-Shirts) has the most open gaps: 112.,generated: supplier-scale-top
